ticker,exchange,sector,industry,state_val,city,lat,lon,rpt_year,revenue_scaled,income_tax_scaled,net_income_scaled,market_cap,median_hh_income
AEE,NYSE,Utilities,Multi-Utilities,MO,St Louis,38.620304,-90.20933,2016,6076000000,382000000,653000000,12747780000,55016
AEE,NYSE,Utilities,Multi-Utilities,MO,St Louis,38.620304,-90.20933,2017,6174000000,576000000,523000000,14393560000,56885
AEE,NYSE,Utilities,Multi-Utilities,MO,St Louis,38.620304,-90.20933,2018,6291000000,237000000,815000000,16046580000,61726
AEE,NYSE,Utilities,Multi-Utilities,MO,St Louis,38.620304,-90.20933,2019,5910000000,182000000,828000000,18969600000,55461
AEP,NASDAQ,Utilities,Electric Utilities,OH,Columbus,39.9833,-82.9833,2015,16396000000,920000000,1763000000,28610570000,53301
AEP,NASDAQ,Utilities,Electric Utilities,OH,Columbus,39.9833,-82.9833,2016,16317000000,-74000000,613000000,30976320000,53985
AEP,NASDAQ,Utilities,Electric Utilities,OH,Columbus,39.9833,-82.9833,2017,15376000000,970000000,1913000000,36270010000,59768
AEP,NASDAQ,Utilities,Electric Utilities,OH,Columbus,39.9833,-82.9833,2018,16167000000,115000000,1924000000,36921560000,61633
AEP,NASDAQ,Utilities,Electric Utilities,OH,Columbus,39.9833,-82.9833,2019,15536000000,-13000000,1921000000,46782450000,56602
AES,NYSE,Utilities,Independent Power Producers & Energy Traders,VA,Arlington,38.880028,-77.112495,2015,14112000000,472000000,331000000,6593730000,61486
AES,NYSE,Utilities,Independent Power Producers & Energy Traders,VA,Arlington,38.880028,-77.112495,2016,10170000000,32000000,-20000000,7669200000,66451
AES,NYSE,Utilities,Independent Power Producers & Energy Traders,VA,Arlington,38.880028,-77.112495,2017,10505000000,990000000,-507000000,7147800000,71293
AES,NYSE,Utilities,Independent Power Producers & Energy Traders,VA,Arlington,38.880028,-77.112495,2018,10742000000,708000000,985000000,9615900000,77151
AES,NYSE,Utilities,Independent Power Producers & Energy Traders,VA,Arlington,38.880028,-77.112495,2019,10190000000,352000000,302000000,13273300000,74222
AFL,NYSE,Financials,Life & Health Insurance,GA,Columbus,32.468506,-84.96449,2015,21035000000,1329000000,2533000000,25936700000,50768
AFL,NYSE,Financials,Life & Health Insurance,GA,Columbus,32.468506,-84.96449,2016,22897000000,1408000000,2659000000,28814400000,53527
AFL,NYSE,Financials,Life & Health Insurance,GA,Columbus,32.468506,-84.96449,2017,21667000000,-586000000,4604000000,35024220000,57016
AFL,NYSE,Financials,Life & Health Insurance,GA,Columbus,32.468506,-84.96449,2018,21758000000,1063000000,2920000000,35309000000,55821
AFL,NYSE,Financials,Life & Health Insurance,GA,Columbus,32.468506,-84.96449,2019,22307000000,1141000000,3304000000,39463400000,58700
AIG,NYSE,Financials,Property & Casualty Insurance,NY,New York,40.706722,-74.00518,2015,58330000000,1059000000,2196000000,82667980000,58005
AIG,NYSE,Financials,Property & Casualty Insurance,NY,New York,40.706722,-74.00518,2016,55558000000,185000000,-759000000,71253210000,61437
AIG,NYSE,Financials,Property & Casualty Insurance,NY,New York,40.706722,-74.00518,2017,49520000000,7526000000,-6088000000,55468980000,62447
AIG,NYSE,Financials,Property & Casualty Insurance,NY,New York,40.706722,-74.00518,2018,47389000000,154000000,36000000,35390180000,67274
AIG,NYSE,Financials,Property & Casualty Insurance,NY,New York,40.706722,-74.00518,2019,49546000000,1166000000,3300000000,45683700000,68486
AIV,NYSE,0,0,0,0,0,0,2015,980000000,-28000000,67000000,670865800,0
AIV,NYSE,0,0,0,0,0,0,2016,994000000,-25000000,36000000,761694800,0
AIV,NYSE,0,0,0,0,0,0,2017,1004000000,-31000000,315000000,738541200,0
AIV,NYSE,0,0,0,0,0,0,2018,971000000,-13000000,665000000,735379400,0
AIV,NYSE,0,0,0,0,0,0,2019,914000000,-3000000,473000000,818767600,0
AIZ,NYSE,Financials,Multi-line Insurance,NY,New York,40.70793,-74.00854,2015,10313000000,60000000,142000000,5557260000,58005
AIZ,NYSE,Financials,Multi-line Insurance,NY,New York,40.70793,-74.00854,2016,7108000000,283000000,565000000,5757320000,61437
AIZ,NYSE,Financials,Multi-line Insurance,NY,New York,40.70793,-74.00854,2017,6311000000,-75000000,520000000,5546200000,62447
