ticker,exchange,sector,industry,state_val,city,lat,lon,rpt_year,revenue_scaled,income_tax_scaled,net_income_scaled,market_cap,median_hh_income
APH,NYSE,Information Technology,Electronic Components,CT,Wallingford,41.46122,-72.83315,2016,6286000000,309000000,823000000,21168000000,75923
APH,NYSE,Information Technology,Electronic Components,CT,Wallingford,41.46122,-72.83315,2017,7011000000,692000000,651000000,27832600000,72780
APH,NYSE,Information Technology,Electronic Components,CT,Wallingford,41.46122,-72.83315,2018,8202000000,372000000,1205000000,25359260000,72812
APH,NYSE,Information Technology,Electronic Components,CT,Wallingford,41.46122,-72.83315,2019,8225000000,332000000,1155000000,33334840000,78444
ARE,NYSE,Real Estate,Office REITs,CA,Pasadena,34.147194,-118.14293,2015,835000000,0,142000000,6505920000,63636
ARE,NYSE,Real Estate,Office REITs,CA,Pasadena,34.147194,-118.14293,2016,911000000,0,-70000000,8445880000,66637
ARE,NYSE,Real Estate,Office REITs,CA,Pasadena,34.147194,-118.14293,2017,1115000000,0,164000000,12014280000,69759
ARE,NYSE,Real Estate,Office REITs,CA,Pasadena,34.147194,-118.14293,2018,1338000000,0,373000000,11869720000,70489
ARE,NYSE,Real Estate,Office REITs,CA,Pasadena,34.147194,-118.14293,2019,1533000000,0,357000000,18258540000,75235
ATO,NYSE,Utilities,Gas Utilities,TX,Dallas,32.7758,-96.7967,2016,2455000000,197000000,345000000,7711600000,58146
ATO,NYSE,Utilities,Gas Utilities,TX,Dallas,32.7758,-96.7967,2017,2760000000,221000000,382000000,9104340000,59295
ATO,NYSE,Utilities,Gas Utilities,TX,Dallas,32.7758,-96.7967,2018,3116000000,8000000,602000000,10291920000,59785
ATO,NYSE,Utilities,Gas Utilities,TX,Dallas,32.7758,-96.7967,2019,2902000000,139000000,511000000,13087620000,61874
ATO,NYSE,Utilities,Gas Utilities,TX,Dallas,32.7758,-96.7967,2020,2821000000,145000000,601000000,11410710000,0
ATVI,NASDAQ,Communication Services,Interactive Home Entertainment,CA,Santa Monica,34.02035,-118.45312,2015,4664000000,229000000,881000000,28606690000,63636
ATVI,NASDAQ,Communication Services,Interactive Home Entertainment,CA,Santa Monica,34.02035,-118.45312,2016,6608000000,140000000,962000000,27226940000,66637
ATVI,NASDAQ,Communication Services,Interactive Home Entertainment,CA,Santa Monica,34.02035,-118.45312,2017,7017000000,878000000,273000000,48503120000,69759
ATVI,NASDAQ,Communication Services,Interactive Home Entertainment,CA,Santa Monica,34.02035,-118.45312,2018,7493000000,29000000,1848000000,35905470000,70489
ATVI,NASDAQ,Communication Services,Interactive Home Entertainment,CA,Santa Monica,34.02035,-118.45312,2019,6450000000,130000000,1503000000,45812820000,75235
AVB,NYSE,Real Estate,Residential REITs,VA,Arlington,38.878407,-77.11139,2015,1850000000,2000000,740000000,24857550000,61486
AVB,NYSE,Real Estate,Residential REITs,VA,Arlington,38.878407,-77.11139,2016,2019000000,0,1031000000,24269550000,66451
AVB,NYSE,Real Estate,Residential REITs,VA,Arlington,38.878407,-77.11139,2017,2148000000,0,874000000,24620580000,71293
AVB,NYSE,Real Estate,Residential REITs,VA,Arlington,38.878407,-77.11139,2018,2278000000,0,972000000,24018900000,77151
AVB,NYSE,Real Estate,Residential REITs,VA,Arlington,38.878407,-77.11139,2019,2318000000,13000000,784000000,29358000000,74222
AVGO,NASDAQ,Information Technology,Semiconductors,CA,San Jose,37.385223,-121.90135,2016,13240000000,642000000,-1633000000,67702910000,66637
AVGO,NASDAQ,Information Technology,Semiconductors,CA,San Jose,37.385223,-121.90135,2017,17636000000,35000000,1698000000,108155000000,69759
AVGO,NASDAQ,Information Technology,Semiconductors,CA,San Jose,37.385223,-121.90135,2018,20848000000,-8084000000,12278000000,109595000000,70489
AVGO,NASDAQ,Information Technology,Semiconductors,CA,San Jose,37.385223,-121.90135,2019,22597000000,-510000000,2736000000,132412000000,75235
AVGO,NASDAQ,Information Technology,Semiconductors,CA,San Jose,37.385223,-121.90135,2020,23888000000,-518000000,2961000000,181645000000,0
AVY,NYSE,Materials,Paper Packaging,CA,Glendale,34.1481,-118.2464,2015,5967000000,135000000,274000000,5827380000,63636
AVY,NYSE,Materials,Paper Packaging,CA,Glendale,34.1481,-118.2464,2016,6087000000,156000000,321000000,6390020000,66637
AVY,NYSE,Materials,Paper Packaging,CA,Glendale,34.1481,-118.2464,2017,6614000000,308000000,282000000,10337400000,69759
AVY,NYSE,Materials,Paper Packaging,CA,Glendale,34.1481,-118.2464,2018,7159000000,85000000,467000000,7994870000,70489
AVY,NYSE,Materials,Paper Packaging,CA,Glendale,34.1481,-118.2464,2019,7070000000,-57000000,304000000,11119700000,75235
AWK,NYSE,Utilities,Water Utilities,NJ,Camden,39.9452,-75.1188,2015,3159000000,306000000,476000000,10755000000,68357
AWK,NYSE,Utilities,Water Utilities,NJ,Camden,39.9452,-75.1188,2016,3302000000,302000000,468000000,12952440000,68468
AWK,NYSE,Utilities,Water Utilities,NJ,Camden,39.9452,-75.1188,2017,3357000000,486000000,426000000,16376710000,72997
AWK,NYSE,Utilities,Water Utilities,NJ,Camden,39.9452,-75.1188,2018,3440000000,222000000,567000000,16338600000,74176
AWK,NYSE,Utilities,Water Utilities,NJ,Camden,39.9452,-75.1188,2019,3610000000,212000000,621000000,22235850000,82545
AXP,NYSE,Financials,Consumer Finance,NY,New York,40.713,-74.0072,2015,34441000000,2775000000,5125000000,69758650000,58005
AXP,NYSE,Financials,Consumer Finance,NY,New York,40.713,-74.0072,2016,35046000000,2688000000,5365000000,69264800000,61437
AXP,NYSE,Financials,Consumer Finance,NY,New York,40.713,-74.0072,2017,39021000000,4677000000,2727000000,87988660000,62447
AXP,NYSE,Financials,Consumer Finance,NY,New York,40.713,-74.0072,2018,43280000000,1201000000,6867000000,81879880000,67274
AXP,NYSE,Financials,Consumer Finance,NY,New York,40.713,-74.0072,2019,47020000000,1670000000,6712000000,103327000000,68486
AZO,NYSE,Consumer Discretionary,Specialty Stores,TN,Memphis,35.142307,-90.05539,2016,10636000000,672000000,1241000000,23693700000,51344
AZO,NYSE,Consumer Discretionary,Specialty Stores,TN,Memphis,35.142307,-90.05539,2017,10889000000,645000000,1281000000,20629730000,55240
